kimble_id,resource_bu,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,month_end_title,client_unit,legal_entity,month_end_helper,adjustments,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01
KE013458-001,PSU UK,,,1041.67,1041.67,1041.67,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE013462-001,PSU PL,,,378.17,378.17,379.79,378.17,378.17,378.17,378.17,372.28,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE013464-001,PSU UK,,,1166.67,1166.67,1166.67,1166.67,1166.67,1166.67,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE013465-001,PSU PL,,,378.17,378.17,378.17,378.17,378.17,378.17,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE013532-001,PSU PL,,,378.17,378.17,378.17,378.17,378.17,378.17,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE013549-001,PSU PL,,,,333.33,333.33,333.33,333.33,333.33,333.33,333.33,333.33,333.33,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
Grand Total,,449.5,474.71,482.79,507.65,512.54,504.19,482.27,472.69,459.07,438.5,423.79,424.31,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
